scene_floor,clearance_m,island_radius_m,island,openness_m,best_yaw_rad,mean_free_range_m,inside_bbox,bbox_dist_m,bbox_pen_m,snap_dist_m,is_navigable,error
00023-zepmXAdrpjR_0,0.3541724681854248,8.627474784851074,0,3.039473684210526,-2.7052603405912112,2.0625,True,0.0,1.0299999713897705,0.0024948465834699176,True,
00025-ixTj1aTMup2_0,0.0,5.5522541999816895,1,2.25,0.5235987755982988,1.0625,True,0.0,0.37251710891723633,0.1382729558865068,True,
00025-ixTj1aTMup2_1,0.0,5.869534492492676,0,3.4342105263157894,-2.4434609527920617,1.6909722222222223,True,0.0,0.4932289123535156,0.1546261853757719,True,
00025-ixTj1aTMup2_2,0.0,5.869534492492676,0,1.355263157894737,-2.792526803190927,1.1180555555555556,True,0.0,0.4158811569213867,0.16480227197431802,True,
00025-ixTj1aTMup2_3,0.1902901828289032,5.5522541999816895,1,2.1184210526315788,2.181661564992912,1.0416666666666667,False,0.0,0.09000000357627869,0.0020837402365603943,True,
00035-3XYAD64HpDr_0,0.0,5.7502970695495605,2,1.9736842105263157,0.7853981633974483,1.2048611111111112,True,0.0,0.9120240211486816,0.05700911493391237,True,
00035-3XYAD64HpDr_1,0.5614311695098877,5.7502970695495605,2,2.3026315789473686,-2.792526803190927,1.5833333333333333,True,0.0,1.440000057220459,0.0015809917464908508,True,
00057-1UnKg1rAb8A_0,0.5071309804916382,6.934849739074707,1,2.5657894736842106,0.08726646259971647,1.7777777777777777,True,0.0,0.7200000286102295,0.0009367942814547037,True,
00057-1UnKg1rAb8A_1,0.11072540283203125,6.934849739074707,1,2.039473684210526,1.1344640137963142,1.09375,False,0.8137612006087176,0.0,0.0009367942829959416,True,
00057-1UnKg1rAb8A_2,0.4892745018005371,6.934849739074707,1,2.6447368421052633,2.0943951023931953,1.7638888888888888,True,0.0,1.6016209125518799,0.0009367942859085171,True,
00057-1UnKg1rAb8A_3,0.09463749825954437,6.934849739074707,1,2.8421052631578947,-2.356194490192345,1.4895833333333333,True,0.0,0.4000000059604645,0.000936794281086081,True,
00062-ACZZiU6BXLz_0,0.0,6.323027610778809,0,2.6052631578947367,-2.2689280275926285,1.5555555555555556,True,0.0,0.37841641902923584,0.14324366238814135,True,
00062-ACZZiU6BXLz_1,0.1666824072599411,6.323027610778809,0,2.1973684210526314,1.3962634015954636,1.5173611111111112,True,0.0,0.4951745457947254,0.0007160270216622565,True,
00109-GTV2Y73Sn5t_0,0.3709251880645752,1.7602368593215942,3,1.75,0.0,0.9548611111111112,True,0.0,0.8758299350738525,0.0005503654546081672,True,
00109-GTV2Y73Sn5t_1,0.0,6.067083835601807,0,2.236842105263158,1.2217304763960306,1.0972222222222223,True,0.0,0.5752255916595459,0.020252956136058216,True,
00109-GTV2Y73Sn5t_2,0.0,6.067083835601807,0,1.9605263157894737,-2.879793265790644,1.15625,True,0.0,1.3019227981567383,0.1515772693771961,True,
00149-UuwwmrTsfBN_0,0.0,9.55662727355957,0,0.0,0.0,0.0,False,1.056890078362201,0.0,1.0154960200244039,False,
00166-RaYrxWt5pR1_0,0.42494913935661316,7.141567707061768,0,2.8815789473684212,0.2617993877991494,1.5277777777777777,True,0.0,0.47999998927116394,0.0015978193311901735,True,
00203-VoVGtfYrpuQ_0,0.11816725134849548,8.942152976989746,0,3.723684210526316,-2.0943951023931957,2.1215277777777777,True,0.0,0.46000000834465027,0.0022641182043166676,True,
00258-2Pc8W48bu21_0,0.20246773958206177,10.87178897857666,0,3.0789473684210527,-0.5235987755982983,1.7777777777777777,True,0.0,0.5618741512298584,0.0023264002812693517,True,
00299-bdp1XNEdvmW_0,0.16525307297706604,10.420369148254395,0,3.0921052631578947,2.530727415391778,1.9930555555555556,True,0.0,0.6029391288757324,0.008206576109608529,True,
00304-X6Pct1msZv5_0,0.09899741411209106,5.626384258270264,0,2.539473684210526,2.2689280275926285,1.4548611111111112,True,0.0,0.35993415117263794,0.003199481996930387,True,
00323-yHLr6bvWsVm_0,0.02204000949859619,8.14614486694336,0,2.526315789473684,-2.181661564992911,1.5590277777777777,True,0.0,1.0569530725479126,0.023451095224555876,True,
00324-DoSbsoo4EAg_0,0.0,7.400477409362793,0,0.0,0.0,0.0,True,0.0,1.0427439880371092,1.0422044787285931,False,
00326-u9rPN5cHWBg_0,0.4019795060157776,14.240309715270996,0,2.1842105263157894,0.5235987755982988,1.5729166666666667,False,0.16019129753112793,0.0,4.120093798744966e-06,True,
00327-xgLmjqzoAzF_0,0.09517079591751099,20.228734970092773,0,3.1315789473684212,2.705260340591211,1.4270833333333333,False,0.2987544846042471,0.0,0.04384196072860931,True,
00327-xgLmjqzoAzF_1,0.05470677837729454,20.228734970092773,0,2.9078947368421053,-2.356194490192345,1.7430555555555556,False,0.2722907066345215,0.0,0.0013644719237154595,True,
00386-b3WpMbPFB6q_0,0.0,9.723464012145996,0,2.3552631578947367,-1.919862177193762,1.4097222222222223,False,6.365671328958904,0.0,0.04483615851295857,True,
00397-ZNanfzgCdm3_0,0.27043431997299194,3.897050619125366,1,1.881578947368421,-1.5707963267948966,1.3923611111111112,False,0.0,0.05000000074505806,0.014647150039983249,True,
00404-QN2dRqwd84J_0,0.0,8.871177673339844,1,1.4210526315789473,2.617993877991494,0.8993055555555556,False,0.5707407369636508,0.0,0.08643405768064791,True,
00410-v7DzfFFEpsD_0,0.0,9.732912063598633,1,3.473684210526316,-2.530727415391778,1.8472222222222223,False,2.7063136100769043,0.0,0.0792072276979632,True,
00410-v7DzfFFEpsD_1,0.0,9.732912063598633,1,2.9078947368421053,2.705260340591211,1.6909722222222223,True,0.0,0.513887882232666,0.1437862072667867,True,
00414-77mMEyxhs44_0,0.0,7.198245048522949,1,2.4342105263157894,0.3490658503988659,1.1701388888888888,False,0.0,0.031687259674072266,0.07327155917576479,True,
00506-QVAA6zecMHu_0,0.5870384573936462,5.28480863571167,0,2.763157894736842,-1.2217304763960302,1.7326388888888888,True,0.0,0.7599999904632568,0.001078405380610092,True,
00525-iKFn6fzyRqs_0,0.3424423038959503,7.551212787628174,0,1.7105263157894737,-2.879793265790644,1.1527777777777777,True,0.0,0.6998660564422607,0.002661523826077491,True,
00525-iKFn6fzyRqs_1,0.0,7.551212787628174,0,2.0789473684210527,2.356194490192345,1.0763888888888888,False,2.6424938380907625,0.0,0.1689820284481407,True,
00529-W9YAR9qcuvN_0,1.1920928955078125e-07,5.878744125366211,0,1.986842105263158,2.443460952792061,0.9722222222222222,False,1.4723548889160156,0.0,0.11774903045165834,True,
00537-oahi4u45xMf_0,0.09718828648328781,4.691612243652344,0,2.1052631578947367,2.9670597283903604,1.0659722222222223,False,0.619999885559082,0.0,0.0038860511791487264,True,
00537-oahi4u45xMf_1,0.0,4.691612243652344,0,1.855263157894737,2.879793265790644,0.7708333333333334,True,0.0,0.44624412059783936,0.21378224505425386,True,
00557-fRZhp6vWGw7_0,0.18116521835327148,8.527372360229492,0,2.763157894736842,2.0943951023931953,1.8333333333333333,False,0.5679445266723633,0.0,0.0016595459006297953,True,
00557-fRZhp6vWGw7_1,0.08007003366947174,8.527372360229492,0,1.9473684210526316,0.0,1.4618055555555556,False,0.22793316841125488,0.0,0.0016594982161466207,True,
00582-TYDavTf8oyy_0,0.006348981987684965,8.640511512756348,0,2.0657894736842106,0.8726646259971648,1.21875,False,0.6544957815802305,0.0,0.002033844023922948,True,
